1 7 1841 yesterday = 7 today = 3, day mismatch
1 6 1842 yesterday = 1 today = 7, day mismatch
1 7 1842 yesterday = 1 today = 4, day mismatch
1 6 1843 yesterday = 2 today = 1, day mismatch
1 7 1843 yesterday = 2 today = 5, day mismatch
1 6 1844 yesterday = 4 today = 3, day mismatch
1 7 1844 yesterday = 4 today = 7, day mismatch
1 6 1845 yesterday = 5 today = 4, day mismatch
1 7 1845 yesterday = 5 today = 1, day mismatch
1 6 1846 yesterday = 6 today = 5, day mismatch
1 7 1846 yesterday = 6 today = 2, day mismatch
1 6 1847 yesterday = 7 today = 6, day mismatch
1 7 1847 yesterday = 7 today = 3, day mismatch
1 6 1848 yesterday = 2 today = 1, day mismatch
1 7 1848 yesterday = 2 today = 5, day mismatch
1 6 1849 yesterday = 3 today = 2, day mismatch
1 7 1849 yesterday = 3 today = 6, day mismatch
1 6 1850 yesterday = 4 today = 3, day mismatch
1 7 1850 yesterday = 4 today = 7, day mismatch
1 6 1851 yesterday = 5 today = 4, day mismatch
1 7 1851 yesterday = 5 today = 1, day mismatch
1 6 1852 yesterday = 7 today = 6, day mismatch
1 7 1852 yesterday = 7 today = 3, day mismatch
1 6 1853 yesterday = 1 today = 7, day mismatch
1 7 1853 yesterday = 1 today = 4, day mismatch
1 6 1854 yesterday = 2 today = 1, day mismatch
1 7 1854 yesterday = 2 today = 5, day mismatch
1 6 1855 yesterday = 3 today = 2, day mismatch
1 7 1855 yesterday = 3 today = 6, day mismatch
1 6 1856 yesterday = 5 today = 4, day mismatch
1 7 1856 yesterday = 5 today = 1, day mismatch
1 6 1857 yesterday = 6 today = 5, day mismatch
1 7 1857 yesterday = 6 today = 2, day mismatch
1 6 1858 yesterday = 7 today = 6, day mismatch
1 7 1858 yesterday = 7 today = 3, day mismatch
1 6 1859 yesterday = 1 today = 7, day mismatch
1 7 1859 yesterday = 1 today = 4, day mismatch
1 6 1860 yesterday = 3 today = 2, day mismatch
1 7 1860 yesterday = 3 today = 6, day mismatch
1 6 1861 yesterday = 4 today = 3, day mismatch
1 7 1861 yesterday = 4 today = 7, day mismatch
1 6 1862 yesterday = 5 today = 4, day mismatch
1 7 1862 yesterday = 5 today = 1, day mismatch
1 6 1863 yesterday = 6 today = 5, day mismatch
1 7 1863 yesterday = 6 today = 2, day mismatch
1 6 1864 yesterday = 1 today = 7, day mismatch
